16:13:33:9F:0A:35,-21,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-59,"vivo Y75 5G"
42:3B:A0:88:33:21,-62,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-83,"Redmi Note 10S"
00:FC:BA:32:99:40,-54,"PSG"
3A:8A:80:CD:BE:AA,-52,"vedha's  A23"
A6:02:B9:30:81:D5,-76,"Prai"
78:72:5D:DE:99:20,-90,"AMCS"
8A:8F:BA:39:CF:C2,-62,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-77,"Berlin's PC"
00:FC:BA:32:91:40,-86,"PSG"
78:72:5D:F5:5F:10,-87,"AMCS"
0A:3E:91:A2:73:BB,-94,"Bala"
00:FC:BA:32:77:E0,-88,"PSG"

A2:8C:7B:43:54:93,-56,"Genjutsu"
16:13:33:9F:0A:35,-30,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-58,"vivo Y75 5G"
42:3B:A0:88:33:21,-65,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-80,"Redmi Note 10S"
00:FC:BA:32:99:40,-56,"PSG"
3A:8A:80:CD:BE:AA,-51,"vedha's  A23"
A6:02:B9:30:81:D5,-76,"Prai"
78:72:5D:DE:99:20,-90,"AMCS"
8A:8F:BA:39:CF:C2,-61,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-80,"Berlin's PC"
00:FC:BA:32:91:40,-86,"PSG"
78:72:5D:F5:5F:10,-87,"AMCS"
0A:3E:91:A2:73:BB,-93,"Bala"
00:FC:BA:32:77:E0,-88,"PSG"

